Epoch	Sell	Buy	Hold	AverageEpProfit	StdEpProfit	MaxEpProfit	MinEpProfit	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpProfit	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
84	222.0	111.0	0.0	4663.3	5001.2026	7491.0	-10255.0	307.67758	457.69928	590.553	-1053.5	404.24	0.0	404.24	404.24	104.3	5874.0	111.0	83999	90.82446	260.70108	1956.5348	-565.577	-92.3551	3700.6436	585.7567508220673
85	222.0	111.0	0.0	4582.222	5198.1626	7376.0	-10047.0	306.0071	477.76242	606.738	-1033.82	404.24	0.0	404.24	404.24	103.666664	5874.0	111.0	84999	91.67775	258.5155	1838.1154	-575.1456	-93.207886	3691.8342	595.0629599094391
86	222.0	111.0	0.0	5937.8887	165.06595	6403.0	5874.0	419.35098	19.774242	473.096	404.633	404.24	0.0	404.24	404.24	111.0	5874.0	111.0	85999	93.4702	257.2244	1926.0864	-566.2253	-94.99445	3605.5933	605.4039070606232
87	225.0	108.0	0.0	4201.5557	2543.092	6267.0	-1482.0	263.6652	253.34781	496.766	-304.766	799.995	0.0	799.995	799.995	111.0	9671.0	111.0	86999	94.94232	255.25822	2014.373	-566.19	-96.46101	3581.1099	614.1932699680328
88	222.0	111.0	0.0	6665.4443	2836.2227	11235.0	2861.0	506.76547	297.33636	991.339	135.16	404.24	0.0	404.24	404.24	111.0	5874.0	111.0	87999	95.66402	253.59511	1928.0939	-582.9389	-97.18956	3617.468	623.1213278770447
89	239.0	94.0	0.0	6061.4443	1527.5598	9130.0	3152.0	445.02377	151.28217	774.835	179.449	579.03204	6.1035156e-05	579.032	579.032	111.0	7214.0	111.0	88999	99.8374	255.10487	1852.5034	-564.9787	-101.35011	3587.199	632.8469030857086
90	222.0	111.0	0.0	7957.778	2984.5796	16210.0	5874.0	637.9032	308.25775	1485.594	404.24	404.24	0.0	404.24	404.24	111.0	5874.0	111.0	89999	101.64389	252.52798	1852.186	-538.393	-103.17626	3522.5874	641.1180379390717
91	238.0	95.0	0.0	6277.5557	652.3479	7483.0	5314.0	460.84332	66.71173	609.527	396.653	693.224	0.0	693.224	693.224	111.0	8369.0	111.0	90999	103.69155	252.80135	1923.7396	-569.0454	-105.20991	3527.929	650.4958200454712
92	226.0	107.0	0.0	5173.6	5492.5693	9517.0	-10523.0	383.8064	516.631	809.415	-1080.48	388.43204	3.0517578e-05	388.432	388.432	104.3	5580.0	111.0	91999	105.3461	250.12709	1785.505	-572.4357	-106.86725	3472.4395	661.2145118713379
93	239.0	94.0	0.0	8005.4443	6907.926	15693.0	-10241.0	675.1832	658.7154	1432.917	-1052.19	579.03204	6.1035156e-05	579.032	579.032	103.55556	7214.0	111.0	92999	106.84223	248.62952	1833.1388	-530.6706	-108.372284	3510.7637	672.1590850353241
